frame_id,sequence,sep_raw,sep_aug,delta
000745,00,0.5000458144865603,0.9094129961267412,0.40936718164018093
000746,00,0.5125030992702864,0.9402668654428226,0.4277637661725362
000747,00,0.5116164722452167,0.9109843319280467,0.39936785968283006
000748,00,0.5156457875456142,0.901763867888335,0.38611808034272077
000749,00,0.4809339289779853,0.8329102492709928,0.35197632029300746
000750,00,0.4587588205596928,0.8024271219751314,0.34366830141543864
000751,00,0.428581667918824,0.764580868609318,0.33599920069049394
000752,00,0.4011303744599355,0.7547380034964917,0.3536076290365562
000753,00,0.3599097412342406,0.6813499487859476,0.321440207551707
000754,00,0.3265024437440277,0.6379646560483416,0.3114622123043139
000755,00,0.30935558362994686,0.6027565521617784,0.2934009685318315
000756,00,0.28198835820397866,0.555277813595964,0.2732894553919853
000757,00,0.27533847043583626,0.5060068216354892,0.2306683511996529
000758,00,0.26339038810341436,0.4705259529761229,0.2071355648727085
000759,00,0.2303927210889098,0.38576256592120195,0.15536984483229216
000760,00,0.2285949401934958,0.3449940510807748,0.116399110887279
000761,00,0.20502795029576046,0.3019810867863307,0.09695313649057022
000762,00,0.20661552357668228,0.2766155182032765,0.06999999462659423
000763,00,0.20304106751456646,0.23829674423661218,0.035255676722045715
000764,00,0.18241578926568303,0.20576515244709767,0.023349363181414645
000765,00,0.17864932459406563,0.18864170420989826,0.00999237961583263
000766,00,0.18381688390887038,0.16636308827500332,-0.017453795633867064
000767,00,0.1998050784685835,0.15596264510558022,-0.04384243336300328
000768,00,0.22016868252927785,0.12621333633630172,-0.09395534619297613
000769,00,0.23755514428369337,0.11952863133342176,-0.11802651295027161
000770,00,0.24390640417315962,0.10917866167037163,-0.134727742502788
000771,00,0.22881285165388693,0.09305531228440263,-0.13575753936948431
000772,00,0.23187276519843697,0.08809112495123274,-0.14378164024720425
000773,00,0.23146580108357917,0.09141884208529741,-0.14004695899828176
000774,00,0.24353765365457747,0.10391789102920698,-0.13961976262537049
000775,00,0.23368532033265016,0.11018799068766928,-0.12349732964498088
000776,00,0.16307112210132815,0.09914339470096073,-0.06392772740036742
000777,00,0.19425360900773905,0.11131131633681128,-0.08294229267092777
000778,00,0.21994366564857715,0.13580382123625803,-0.08413984441231911
000779,00,0.21682540233738112,0.14218170069533015,-0.07464370164205097
000780,00,0.16591421268408935,0.13100620364930374,-0.03490800903478561
000781,00,0.10629920356643133,0.11446615496111431,0.008166951394682986
000782,00,0.06956219270324174,0.1034508894125395,0.03388869670929777
000783,00,0.06942914203880111,0.10828924334595738,0.03886010130715627
000784,00,0.0778385327347325,0.1160762958867675,0.038237763152035004
000785,00,0.06981412742939427,0.12492929312609856,0.055115165696704285
000786,00,0.07039407538633485,0.1312889311352354,0.06089485574890055
000787,00,0.06580788025401559,0.14016657225091697,0.07435869199690139
000788,00,0.0835857458895426,0.14626434749639036,0.06267860160684777
000789,00,0.1005319995264972,0.15911622526597927,0.05858422573948206
000790,00,0.1309605753673762,0.18017014099263776,0.04920956562526155
000791,00,0.1506652908797847,0.19729450557169495,0.046629214691910253
000792,00,0.16518270300693097,0.19932544765398355,0.03414274464705258
000793,00,0.22165342046392306,0.2337731470098165,0.012119726545893439
000794,00,0.2771934903818385,0.30063402335189043,0.02344053297005194
000795,00,0.3217270697154802,0.3388824187272196,0.017155349011739374
000796,00,0.36118505442478677,0.4092421766689289,0.04805712224414216
000797,00,0.3213109603257159,0.4523114570394317,0.13100049671371583
000798,00,0.31634705387863754,0.5060877080763602,0.18974065419772262
000799,00,0.3213082139470432,0.5368475106082863,0.2155392966612431
000800,00,0.3386271416717278,0.5721252083676449,0.2334980666959171
000801,00,0.31742446064171215,0.5617943451032115,0.24436988446149932
000802,00,0.28927545234671237,0.5202977913104398,0.23102233896372748
000803,00,0.2764451081647107,0.5156750244951802,0.23922991633046953
000804,00,0.3062658915894856,0.5361449282184514,0.2298790366289658
000805,00,0.32111532428100165,0.573775075487865,0.25265975120686335
000806,00,0.34939497833343847,0.5992208541398364,0.24982587580639792
000807,00,0.3616835151393947,0.5751549131080634,0.21347139796866876
000808,00,0.31547204367172355,0.5293157876073368,0.21384374393561323
000809,00,0.29940989279579727,0.5143474709461533,0.21493757815035602
000810,00,0.29056809943631784,0.5018892236530729,0.21132112421675503
000811,00,0.24131791503167785,0.45530309248026535,0.2139851774485875
000812,00,0.23676450136031207,0.43723373960385387,0.2004692382435418
000813,00,0.22263860135607197,0.40728895193042114,0.18465035057434917
000814,00,0.20009963618092097,0.37460496121518844,0.17450532503426747
000815,00,0.1677870567913555,0.32611977323395785,0.15833271644260236
000816,00,0.12822438939293948,0.28963394981369633,0.16140956042075685
000817,00,0.09793595778471324,0.25807454683017,0.16013858904545675
000818,00,0.0767823969485537,0.2215479490062569,0.1447655520577032
000819,00,0.06336074161422331,0.17698575328539273,0.11362501167116942
000820,00,0.04763787947673934,0.14161922409897443,0.09398134462223509
000821,00,0.04779473561892375,0.12110379378805117,0.07330905816912742
000822,00,0.045770080359504944,0.10818226344590909,0.062412183086404144
000823,00,0.04890022266447292,0.10270830909194598,0.053808086427473055
000824,00,0.05152740349960074,0.10064573157223242,0.049118328072631674
000825,00,0.04807574413246365,0.09348037904980781,0.045404634917344165
000826,00,0.043230859419620585,0.09424872330307747,0.05101786388345689
000827,00,0.0423136770076504,0.09143206977510597,0.04911839276745557
000828,00,0.03966362773444618,0.09068698015490477,0.05102335242045859
000829,00,0.04775708112639373,0.08939792694767777,0.041640845821284043
000830,00,0.04998436958950993,0.08956569986557573,0.03958133027606581
000831,00,0.05855761328681757,0.09190350777402234,0.03334589448720477
000832,00,0.0595760242013261,0.08929081281001033,0.029714788608684234
000833,00,0.05741694967658739,0.08607648866623036,0.028659538989642963
000834,00,0.06323613436835379,0.08310641359881774,0.019870279230463944
000835,00,0.0693348036919106,0.08248512586461522,0.01315032217270462
000836,00,0.07378539517448712,0.08496194189864552,0.011176546724158395
000837,00,0.07952227519982973,0.08448291168919071,0.004960636489360987
000838,00,0.08512578281982036,0.08215783235937654,-0.002967950460443819
000839,00,0.09283245213020247,0.08559832947665869,-0.007234122653543784
000840,00,0.10311260250178436,0.09133545554557398,-0.011777146956210377
000841,00,0.11289804544527828,0.10072578720653474,-0.01217225823874353
000842,00,0.13195664284691605,0.1161760086060154,-0.01578063424090065
000843,00,0.1466475354530309,0.1366066529444215,-0.010040882508609406
000844,00,0.16486980242483582,0.16044851246152747,-0.004421289963308345
000845,00,0.1791956641714441,0.18856340752353362,0.009367743352089508
000846,00,0.20807448481211707,0.21928266202967658,0.011208177217559512
000847,00,0.22830723097137376,0.25425340408201447,0.025946173110640708
000848,00,0.23016070285151935,0.2854845035239828,0.05532380067246345
000849,00,0.2402288978307913,0.31890881797269366,0.07867992014190237
000850,00,0.2435869274058378,0.3541090417972709,0.11052211439143309
000851,00,0.24389028002545768,0.3883055908074254,0.1444153107819677
000852,00,0.2575549848546744,0.42460497802986885,0.16704999317519448
000853,00,0.2660366511331552,0.4616387026110575,0.19560205147790227
000854,00,0.2764112550872362,0.4826219882803726,0.20621073319313643
000855,00,0.2858087332998834,0.49885505014491743,0.21304631684503406
000856,00,0.2919755327575891,0.5046830915562095,0.2127075587986204
000857,00,0.296196022906676,0.5219096884462456,0.22571366553956962
000858,00,0.29192941098858205,0.5065949227277038,0.21466551173912174
000859,00,0.3088900976335394,0.4878979272747764,0.17900782964123696
000860,00,0.3362979922743144,0.4895518616125361,0.15325386933822172
000861,00,0.3427595926383078,0.43906543598556286,0.09630584334725506
000862,00,0.3591808007354577,0.4092879983691329,0.05010719763367516
000863,00,0.35241643451450505,0.37618580127069207,0.023769366756187016
000864,00,0.3354604430559275,0.32829695956534155,-0.007163483490585931
000865,00,0.2963986957097408,0.29195857040666684,-0.004440125303073972
000866,00,0.2721169673740074,0.23654152952925883,-0.03557543784474859
000867,00,0.27263685367743207,0.19554165855373443,-0.07709519512369764
000868,00,0.26434605506583253,0.1668684616771476,-0.09747759338868492
000869,00,0.2934134206705839,0.15646400059814916,-0.13694942007243474
000870,00,0.26623237059610955,0.1330345724203335,-0.13319779817577604
000871,00,0.24281766176713349,0.13405126567648468,-0.10876639609064881
000872,00,0.20981735422834363,0.13889885608246408,-0.07091849814587955
000873,00,0.22423295130140977,0.13714837369269478,-0.08708457760871499
000874,00,0.20528856462671383,0.12886007336646604,-0.07642849126024778
000875,00,0.1830832241212358,0.11913602924099584,-0.06394719488023995
000876,00,0.2007133808319646,0.1295126757106604,-0.07120070512130419
000877,00,0.179869023683122,0.1459113529933147,-0.03395767068980729
000878,00,0.1763921286201436,0.1611262779326873,-0.015265850687456312
000879,00,0.16866854744159665,0.18789900441116855,0.019230456969571902
000880,00,0.14459615064435444,0.2010419266399144,0.05644577599555997
000881,00,0.12426175482793586,0.2152795537813369,0.09101779895340104
000882,00,0.12598780287999006,0.24342309218730224,0.11743528930731217
000883,00,0.12912275613367877,0.26451773260416034,0.13539497647048157
000884,00,0.11836107727049326,0.2628592734314619,0.14449819616096865
000885,00,0.11354730499784978,0.25728734971754597,0.1437400447196962
000886,00,0.10425908697337723,0.24581985324716107,0.14156076627378383
000887,00,0.09888431894493445,0.230745394794659,0.13186107584972456
000888,00,0.09992933811555992,0.23213012239319625,0.13220078427763632
000889,00,0.10214980566364787,0.23534143683264333,0.13319163116899546
000890,00,0.1134747809239219,0.2378266868672098,0.12435190594328792
000891,00,0.11848044618558921,0.23002997041970163,0.11154952423411242
000892,00,0.13550965198007844,0.23134642108503797,0.09583676910495953
000893,00,0.1315830973339307,0.23144311117232577,0.09986001383839507
000894,00,0.1497437491970024,0.24918505121986906,0.09944130202286666
000895,00,0.1832094076110849,0.2559856206178235,0.07277621300673859
000896,00,0.23784061779141788,0.286184719476259,0.04834410168484113
000897,00,0.24892970148516283,0.28736261093322346,0.03843290944806063
000898,00,0.24317942282323723,0.2604996124732471,0.017320189650009865
000899,00,0.22786305768730214,0.24504896322274647,0.01718590553544433
000900,00,0.2881062467004638,0.2840854032146465,-0.004020843485817327
000901,00,0.2521329047024003,0.278299007645695,0.02616610294329469
000902,00,0.23234758088018817,0.27375469153234644,0.04140711065215827
000903,00,0.31707995662382743,0.3102270704108089,-0.00685288621301855
000904,00,0.33757060375986886,0.33660910932431726,-0.000961494435551602
000905,00,0.31883757884468583,0.36894708914619906,0.05010951030151323
000906,00,0.25600663313357136,0.34252188775826325,0.0865152546246919
000907,00,0.19864403672973657,0.2886263801733335,0.0899823434435969
000908,00,0.18228096441199562,0.26702932172478716,0.08474835731279154
000909,00,0.2086586431118713,0.2825712008166871,0.07391255770481578
000910,00,0.22412091753384092,0.29405019798627685,0.06992928045243593
000911,00,0.24378382942338697,0.30493207804773487,0.061148248624347895
000912,00,0.2544018268985846,0.356950294407517,0.10254846750893243
000913,00,0.27588845387289096,0.36955965056739226,0.0936711966945013
000914,00,0.319803618406977,0.40613568665018324,0.08633206824320622
000915,00,0.34553045828665335,0.4423652630197741,0.09683480473312073
000916,00,0.38060820101784415,0.45478826308460557,0.07418006206676142
000917,00,0.3909060452553595,0.4535771255990054,0.06267108034364594
000918,00,0.38428211030460535,0.43772882782669886,0.05344671752209351
000919,00,0.32977483008286756,0.41354145585489294,0.08376662577202537
000920,00,0.29583082078495065,0.38724186891168333,0.09141104812673267
000921,00,0.24733232614375056,0.35885364053523994,0.11152131439148938
000922,00,0.216755666531712,0.33280687805150155,0.11605121151978956
000923,00,0.20243076315962305,0.3297256571366723,0.12729489397704924
000924,00,0.1921247879032925,0.3307845898642707,0.13865980196097819
000925,00,0.18646855370106652,0.34178285936998104,0.15531430566891452
000926,00,0.18254654986470265,0.3521352691067354,0.16958871924203278
000927,00,0.19297272388506667,0.36315947799250764,0.17018675410744097
000928,00,0.18741645313845354,0.36405689695810933,0.1766404438196558
000929,00,0.19315187725137303,0.3720901151156141,0.17893823786424104
000930,00,0.17055789237455138,0.3554183890739177,0.18486049669936633
000931,00,0.1733372661771536,0.3703596050151449,0.19702233883799133
000932,00,0.17924533003645315,0.40142688081408257,0.2221815507776294
000933,00,0.1808896430167649,0.41076772911657244,0.22987808609980753
000934,00,0.1721825596197726,0.41118885113253983,0.23900629151276723
000935,00,0.20012281557936595,0.41806440716334614,0.2179415915839802
000936,00,0.19363386919040435,0.42149884043793706,0.22786497124753272
000937,00,0.1744056873673199,0.4504098833602288,0.27600419599290893
000938,00,0.17101948882437576,0.46023737997944514,0.28921789115506935
000939,00,0.1976558190479649,0.4944986008288583,0.2968427817808934
000940,00,0.201887400060626,0.5014882637276299,0.2996008636670039
000941,00,0.22826036473240532,0.5127624264510037,0.2845020617185984
000942,00,0.20849451916472175,0.5003125534759022,0.2918180343111805
000943,00,0.18986654803562567,0.47832688682090385,0.2884603387852782
000944,00,0.17668336725026554,0.451750634207228,0.2750672669569625
000945,00,0.16748877842196114,0.4281497287794315,0.2606609503574704
000946,00,0.16825239726205887,0.40304855529439126,0.2347961580323324
000947,00,0.16924701274629753,0.4085619670066594,0.2393149542603619
000948,00,0.15895675490989372,0.411316231915826,0.2523594770059323
000949,00,0.1588852965421305,0.41474992675726774,0.2558646302151373
000950,00,0.15992164771524106,0.40375191886869366,0.2438302711534526
000951,00,0.16921517110472026,0.42286399506911154,0.25364882396439126
000952,00,0.17007771967635898,0.43527833238129066,0.26520061270493167
000953,00,0.17258812698676226,0.4359506614673691,0.26336253448060687
000954,00,0.184281108766035,0.43856176421228715,0.2542806554462521
000955,00,0.1962366383251598,0.44394100496918326,0.24770436664402345
000956,00,0.19924771177932415,0.45561636223698115,0.256368650457657
000957,00,0.20417922012222917,0.4701877776377634,0.26600855751553426
000958,00,0.20425022804135498,0.4576797656257476,0.2534295375843926
000959,00,0.20311058925489314,0.46632121535352794,0.26321062609863477
000960,00,0.21149453028304407,0.47142252916989713,0.25992799888685303
000961,00,0.22600215040513008,0.5211488440807073,0.2951466936755772
000962,00,0.24928283203049895,0.5525450271198723,0.30326219508937335
000963,00,0.27416611184891343,0.5701797576809284,0.296013645832015
000964,00,0.30822230553366503,0.6007633378995839,0.2925410323659189
000965,00,0.3297529540426991,0.64341838562449,0.31366543158179094
000966,00,0.3616183554242533,0.680160801633276,0.31854244620902267
000967,00,0.3596159356766603,0.6623079214890512,0.3026919858123909
000968,00,0.3484682508347796,0.6100502281142868,0.26158197727950716
000969,00,0.3272375586983139,0.54158582009143,0.21434826139311608
000970,00,0.31809417385992367,0.5216048856932523,0.20351071183332858
000971,00,0.28338563345169315,0.4835671559035962,0.20018152245190307
000972,00,0.25133342670921355,0.46742173305228946,0.2160883063430759
000973,00,0.2148251559107713,0.44968185026772417,0.23485669435695286
000974,00,0.1936592378014228,0.4697370954119296,0.2760778576105068
000975,00,0.17373106485180917,0.4839978540186168,0.3102667891668076
000976,00,0.15990988957477326,0.49723685700170817,0.3373269674269349
000977,00,0.15216620149052043,0.5133417073901115,0.36117550589959113
000978,00,0.14877662784133536,0.5166448358431356,0.3678682080018002
000979,00,0.14528643341885045,0.5480451219903802,0.4027586885715298
000980,00,0.14373243370693956,0.5632310937329347,0.4194986600259951
000981,00,0.14546828967821585,0.5415647407743023,0.39609645109608643
000982,00,0.14799527002987223,0.5191562577953136,0.3711609877654414
000983,00,0.14205658678927366,0.47205345138931326,0.32999686460003963
000984,00,0.13648697454347783,0.44501492591435615,0.3085279513708783
000985,00,0.15391115244501172,0.4519993174930695,0.2980881650480578
000986,00,0.160040620075177,0.45516857426227736,0.29512795418710036
000987,00,0.1487712191619893,0.4545174973710526,0.3057462782090633
